qid,context_id,score,rank,method,latency_ms
q0001,c000001,1.3427398204803467,1,bce,4.0152980000032885
q0001,c000005,0.5477964282035828,2,bce,4.0152980000032885
q0001,c000002,0.5233727693557739,3,bce,4.0152980000032885
q0001,c000003,-0.5308327078819275,4,bce,4.0152980000032885
q0001,c000008,-0.6194761395454407,5,bce,4.0152980000032885
q0001,c000007,-0.6375131011009216,6,bce,4.0152980000032885
q0001,c000010,-0.6452249884605408,7,bce,4.0152980000032885
q0001,c000004,-0.6605852246284485,8,bce,4.0152980000032885
q0001,c000006,-0.672082245349884,9,bce,4.0152980000032885
q0001,c000009,-0.679302453994751,10,bce,4.0152980000032885
q0002,c000011,1.325674057006836,1,bce,4.0152980000032885
q0002,c000013,0.70790034532547,2,bce,4.0152980000032885
q0002,c000015,-0.4183139204978943,3,bce,4.0152980000032885
q0002,c000012,-0.42219388484954834,4,bce,4.0152980000032885
q0002,c000014,-0.4457686245441437,5,bce,4.0152980000032885
q0002,c000018,-0.5056527256965637,6,bce,4.0152980000032885
q0002,c000016,-0.5170024633407593,7,bce,4.0152980000032885
q0002,c000019,-0.6950263381004333,8,bce,4.0152980000032885
q0002,c000017,-0.726935088634491,9,bce,4.0152980000032885
q0002,c000020,-0.7887496948242188,10,bce,4.0152980000032885
q0003,c000021,1.3460338115692139,1,bce,4.0152980000032885
q0003,c000022,0.08784207701683044,2,bce,4.0152980000032885
q0003,c000025,-0.2403348982334137,3,bce,4.0152980000032885
q0003,c000024,-0.34831035137176514,4,bce,4.0152980000032885
q0003,c000023,-0.5373135209083557,5,bce,4.0152980000032885
q0003,c000027,-0.7266077399253845,6,bce,4.0152980000032885
q0003,c000026,-0.7370779514312744,7,bce,4.0152980000032885
q0003,c000028,-0.7772237658500671,8,bce,4.0152980000032885
q0003,c000030,-0.8021441698074341,9,bce,4.0152980000032885
q0003,c000029,-0.8555818200111389,10,bce,4.0152980000032885
q0004,c000031,1.2804715633392334,1,bce,4.0152980000032885
q0004,c000035,0.6678516268730164,2,bce,4.0152980000032885
q0004,c000033,0.46202242374420166,3,bce,4.0152980000032885
q0004,c000034,-0.40470942854881287,4,bce,4.0152980000032885
q0004,c000032,-0.61822509765625,5,bce,4.0152980000032885
q0004,c000039,-0.6828529238700867,6,bce,4.0152980000032885
q0004,c000040,-0.6840025782585144,7,bce,4.0152980000032885
q0004,c000036,-0.7267736792564392,8,bce,4.0152980000032885
q0004,c000037,-0.7870064973831177,9,bce,4.0152980000032885
q0004,c000038,-1.01139235496521,10,bce,4.0152980000032885
q0005,c000041,1.0895028114318848,1,bce,4.0152980000032885
q0005,c000045,-0.6141684055328369,2,bce,4.0152980000032885
q0005,c000044,-0.6148467659950256,3,bce,4.0152980000032885
q0005,c000042,-0.8037399053573608,4,bce,4.0152980000032885
q0005,c000048,-0.8446325063705444,5,bce,4.0152980000032885
q0005,c000050,-0.9738308787345886,6,bce,4.0152980000032885
q0005,c000046,-0.9956513047218323,7,bce,4.0152980000032885
q0005,c000049,-1.014414668083191,8,bce,4.0152980000032885
q0005,c000047,-1.0350953340530396,9,bce,4.0152980000032885
q0005,c000043,-1.1239744424819946,10,bce,4.0152980000032885
q0006,c000051,1.3482996225357056,1,bce,4.0152980000032885
q0006,c000053,0.056841619312763214,2,bce,4.0152980000032885
q0006,c000052,-0.04067055508494377,3,bce,4.0152980000032885
q0006,c000054,-0.49625474214553833,4,bce,4.0152980000032885
q0006,c000055,-0.6491191983222961,5,bce,4.0152980000032885
q0006,c000057,-0.6545486450195312,6,bce,4.0152980000032885
q0006,c000060,-0.6775240898132324,7,bce,4.0152980000032885
q0006,c000058,-0.712492048740387,8,bce,4.0152980000032885
q0006,c000056,-0.7326608300209045,9,bce,4.0152980000032885
q0006,c000059,-0.7347050905227661,10,bce,4.0152980000032885
q0007,c000061,1.0343456268310547,1,bce,4.0152980000032885
q0007,c000065,-0.19268450140953064,2,bce,4.0152980000032885
q0007,c000063,-0.5396659970283508,3,bce,4.0152980000032885
q0007,c000070,-0.7591862082481384,4,bce,4.0152980000032885
q0007,c000062,-0.7631385922431946,5,bce,4.0152980000032885
q0007,c000064,-0.8140079975128174,6,bce,4.0152980000032885
q0007,c000066,-0.9081608653068542,7,bce,4.0152980000032885
q0007,c000067,-0.9502949118614197,8,bce,4.0152980000032885
q0007,c000068,-1.020012378692627,9,bce,4.0152980000032885
q0007,c000069,-1.0857462882995605,10,bce,4.0152980000032885
q0008,c000071,1.3419466018676758,1,bce,4.0152980000032885
q0008,c000073,0.7572396397590637,2,bce,4.0152980000032885
q0008,c000074,0.5947974324226379,3,bce,4.0152980000032885
q0008,c000072,0.5215365290641785,4,bce,4.0152980000032885
q0008,c000075,-0.449871689081192,5,bce,4.0152980000032885
q0008,c000078,-0.5496765375137329,6,bce,4.0152980000032885
q0008,c000076,-0.7080488801002502,7,bce,4.0152980000032885
q0008,c000080,-0.7097999453544617,8,bce,4.0152980000032885
q0008,c000079,-0.774819552898407,9,bce,4.0152980000032885
q0008,c000077,-0.8018175959587097,10,bce,4.0152980000032885
q0009,c000081,1.3480467796325684,1,bce,4.0152980000032885
q0009,c000083,1.0091880559921265,2,bce,4.0152980000032885
q0009,c000082,0.8132309317588806,3,bce,4.0152980000032885
q0009,c000085,0.6376317143440247,4,bce,4.0152980000032885
q0009,c000084,-0.5667658448219299,5,bce,4.0152980000032885
q0009,c000089,-0.7305251955986023,6,bce,4.0152980000032885
q0009,c000090,-0.7604312896728516,7,bce,4.0152980000032885
q0009,c000087,-0.7638318538665771,8,bce,4.0152980000032885
q0009,c000086,-0.8465868830680847,9,bce,4.0152980000032885
q0009,c000088,-0.8816815614700317,10,bce,4.0152980000032885
q0010,c000091,1.3482269048690796,1,bce,4.0152980000032885
q0010,c000092,0.0630355030298233,2,bce,4.0152980000032885
q0010,c000093,-0.3530094027519226,3,bce,4.0152980000032885
q0010,c000094,-0.4957568049430847,4,bce,4.0152980000032885
q0010,c000097,-0.537529706954956,5,bce,4.0152980000032885
q0010,c000095,-0.5418525338172913,6,bce,4.0152980000032885
q0010,c000100,-0.5501429438591003,7,bce,4.0152980000032885
q0010,c000099,-0.5787774324417114,8,bce,4.0152980000032885
q0010,c000096,-0.6534180045127869,9,bce,4.0152980000032885
q0010,c000098,-0.7604860067367554,10,bce,4.0152980000032885
q0011,c000101,1.0665020942687988,1,bce,4.0152980000032885
q0011,c000103,-0.0676991194486618,2,bce,4.0152980000032885
q0011,c000104,-0.21843242645263672,3,bce,4.0152980000032885
q0011,c000105,-0.7660000324249268,4,bce,4.0152980000032885
q0011,c000102,-0.8316903114318848,5,bce,4.0152980000032885
q0011,c000107,-0.8851502537727356,6,bce,4.0152980000032885
q0011,c000108,-0.9003201723098755,7,bce,4.0152980000032885
q0011,c000106,-0.9160078167915344,8,bce,4.0152980000032885
q0011,c000110,-1.0465861558914185,9,bce,4.0152980000032885
q0011,c000109,-1.135732889175415,10,bce,4.0152980000032885
q0012,c000111,1.3315954208374023,1,bce,4.0152980000032885
q0012,c000113,0.9594584107398987,2,bce,4.0152980000032885
q0012,c000112,0.8417894840240479,3,bce,4.0152980000032885
q0012,c000115,-0.40800362825393677,4,bce,4.0152980000032885
q0012,c000114,-0.4309067726135254,5,bce,4.0152980000032885
q0012,c000116,-0.4902147650718689,6,bce,4.0152980000032885
q0012,c000119,-0.5483307242393494,7,bce,4.0152980000032885
q0012,c000117,-0.6479189991950989,8,bce,4.0152980000032885
q0012,c000118,-0.6873404383659363,9,bce,4.0152980000032885
q0012,c000120,-0.7680572867393494,10,bce,4.0152980000032885
q0013,c000121,1.0420570373535156,1,bce,4.0152980000032885
q0013,c000122,0.6482246518135071,2,bce,4.0152980000032885
q0013,c000124,0.5341718792915344,3,bce,4.0152980000032885
q0013,c000125,0.2851583957672119,4,bce,4.0152980000032885
q0013,c000123,-0.7100669145584106,5,bce,4.0152980000032885
q0013,c000129,-0.772520124912262,6,bce,4.0152980000032885
q0013,c000127,-0.7801957726478577,7,bce,4.0152980000032885
q0013,c000130,-0.806172788143158,8,bce,4.0152980000032885
q0013,c000128,-0.8501024842262268,9,bce,4.0152980000032885
q0013,c000126,-0.8884044289588928,10,bce,4.0152980000032885
q0014,c000131,0.8508267402648926,1,bce,4.0152980000032885
q0014,c000133,-0.6858595609664917,2,bce,4.0152980000032885
q0014,c000132,-0.6993876099586487,3,bce,4.0152980000032885
q0014,c000135,-0.6994086503982544,4,bce,4.0152980000032885
q0014,c000140,-0.7466359734535217,5,bce,4.0152980000032885
q0014,c000134,-0.8147208094596863,6,bce,4.0152980000032885
q0014,c000137,-0.9030351638793945,7,bce,4.0152980000032885
q0014,c000138,-0.92867511510849,8,bce,4.0152980000032885
q0014,c000136,-0.9615973830223083,9,bce,4.0152980000032885
q0014,c000139,-1.034022331237793,10,bce,4.0152980000032885
q0015,c000141,1.3458043336868286,1,bce,4.0152980000032885
q0015,c000145,0.4175255000591278,2,bce,4.0152980000032885
q0015,c000142,-0.4910757541656494,3,bce,4.0152980000032885
q0015,c000143,-0.4936158061027527,4,bce,4.0152980000032885
q0015,c000147,-0.6370674967765808,5,bce,4.0152980000032885
q0015,c000150,-0.637579619884491,6,bce,4.0152980000032885
q0015,c000148,-0.6408127546310425,7,bce,4.0152980000032885
q0015,c000144,-0.6582105159759521,8,bce,4.0152980000032885
q0015,c000146,-0.6815667748451233,9,bce,4.0152980000032885
q0015,c000149,-0.7416020035743713,10,bce,4.0152980000032885
q0016,c000151,1.347381830215454,1,bce,4.0152980000032885
q0016,c000153,-0.30349987745285034,2,bce,4.0152980000032885
q0016,c000155,-0.34327301383018494,3,bce,4.0152980000032885
q0016,c000152,-0.5077952742576599,4,bce,4.0152980000032885
q0016,c000154,-0.5182843804359436,5,bce,4.0152980000032885
q0016,c000158,-0.598038375377655,6,bce,4.0152980000032885
q0016,c000159,-0.6892069578170776,7,bce,4.0152980000032885
q0016,c000160,-0.6978660225868225,8,bce,4.0152980000032885
q0016,c000157,-0.7352486252784729,9,bce,4.0152980000032885
q0016,c000156,-0.8722994327545166,10,bce,4.0152980000032885
q0017,c000161,1.348164439201355,1,bce,4.0152980000032885
q0017,c000164,0.1804775595664978,2,bce,4.0152980000032885
q0017,c000162,-0.6164166927337646,3,bce,4.0152980000032885
q0017,c000165,-0.6626805067062378,4,bce,4.0152980000032885
q0017,c000163,-0.6628663539886475,5,bce,4.0152980000032885
q0017,c000168,-0.6656332612037659,6,bce,4.0152980000032885
q0017,c000166,-0.6692435145378113,7,bce,4.0152980000032885
q0017,c000167,-0.671608567237854,8,bce,4.0152980000032885
q0017,c000170,-0.6953722834587097,9,bce,4.0152980000032885
q0017,c000169,-0.70025634765625,10,bce,4.0152980000032885
q0018,c000171,1.1456336975097656,1,bce,4.0152980000032885
