qid,context_id,score,rank,method,latency_ms
q0006,c000051,0.9999759684558257,1,lightweight_ml,0.0011125333257950842
q0006,c000052,2.5094776915688714e-07,2,lightweight_ml,0.0011125333257950842
q0006,c000058,1.1595760825675315e-07,3,lightweight_ml,0.0011125333257950842
q0006,c000054,1.0926225835628462e-07,4,lightweight_ml,0.0011125333257950842
q0006,c000055,1.007206693805503e-07,5,lightweight_ml,0.0011125333257950842
q0006,c000056,6.953144836886567e-08,6,lightweight_ml,0.0011125333257950842
q0006,c000060,5.180404637836473e-08,7,lightweight_ml,0.0011125333257950842
q0006,c000059,4.6658957032692677e-08,8,lightweight_ml,0.0011125333257950842
q0006,c000053,4.269771789789527e-08,9,lightweight_ml,0.0011125333257950842
q0006,c000057,5.399238168333761e-09,10,lightweight_ml,0.0011125333257950842
q0007,c000061,0.9998389159732366,1,lightweight_ml,0.0011125333257950842
q0007,c000065,0.026984639805552844,2,lightweight_ml,0.0011125333257950842
q0007,c000063,0.0032775005943112,3,lightweight_ml,0.0011125333257950842
q0007,c000070,0.0023296272679034216,4,lightweight_ml,0.0011125333257950842
q0007,c000064,0.0007146981144423149,5,lightweight_ml,0.0011125333257950842
q0007,c000062,0.0004970590919989753,6,lightweight_ml,0.0011125333257950842
q0007,c000066,0.00026619470239423667,7,lightweight_ml,0.0011125333257950842
q0007,c000067,0.0001487660764133934,8,lightweight_ml,0.0011125333257950842
q0007,c000068,0.00013520390738470166,9,lightweight_ml,0.0011125333257950842
q0007,c000069,9.922596059516735e-05,10,lightweight_ml,0.0011125333257950842
q0008,c000071,0.9985342058901444,1,lightweight_ml,0.0011125333257950842
q0008,c000073,0.06996688968249253,2,lightweight_ml,0.0011125333257950842
q0008,c000074,0.002128922821855971,3,lightweight_ml,0.0011125333257950842
q0008,c000072,0.0002452106373550586,4,lightweight_ml,0.0011125333257950842
q0008,c000075,9.764278650784949e-05,5,lightweight_ml,0.0011125333257950842
q0008,c000078,1.308372545802069e-05,6,lightweight_ml,0.0011125333257950842
q0008,c000076,5.23408420053431e-06,7,lightweight_ml,0.0011125333257950842
q0008,c000077,5.200835299826248e-06,8,lightweight_ml,0.0011125333257950842
q0008,c000079,4.782893988695329e-07,9,lightweight_ml,0.0011125333257950842
q0008,c000080,4.4902247084980925e-07,10,lightweight_ml,0.0011125333257950842
q0010,c000091,0.9991512766370536,1,lightweight_ml,0.0011125333257950842
q0010,c000099,8.896024138371505e-05,2,lightweight_ml,0.0011125333257950842
q0010,c000092,7.589735672423745e-05,3,lightweight_ml,0.0011125333257950842
q0010,c000100,6.994260355783513e-05,4,lightweight_ml,0.0011125333257950842
q0010,c000094,5.65638767764333e-05,5,lightweight_ml,0.0011125333257950842
q0010,c000095,4.031982108700095e-05,6,lightweight_ml,0.0011125333257950842
q0010,c000093,2.8440888924270573e-05,7,lightweight_ml,0.0011125333257950842
q0010,c000098,2.711073637495039e-05,8,lightweight_ml,0.0011125333257950842
q0010,c000096,1.3362252147767006e-05,9,lightweight_ml,0.0011125333257950842
q0010,c000097,4.93170095343171e-06,10,lightweight_ml,0.0011125333257950842
q0018,c000171,0.9958161407904861,1,lightweight_ml,0.0011125333257950842
q0018,c000178,9.653779606067508e-08,2,lightweight_ml,0.0011125333257950842
q0018,c000177,6.450440805373396e-08,3,lightweight_ml,0.0011125333257950842
q0018,c000180,4.526395878546441e-08,4,lightweight_ml,0.0011125333257950842
q0018,c000173,4.0055531600944416e-08,5,lightweight_ml,0.0011125333257950842
q0018,c000179,3.654916013891349e-08,6,lightweight_ml,0.0011125333257950842
q0018,c000176,3.2700509790891413e-08,7,lightweight_ml,0.0011125333257950842
q0018,c000174,6.660021016698827e-09,8,lightweight_ml,0.0011125333257950842
q0018,c000172,4.682186308521821e-09,9,lightweight_ml,0.0011125333257950842
q0018,c000175,3.4700966236603773e-09,10,lightweight_ml,0.0011125333257950842
q0023,c000221,0.9996774974488559,1,lightweight_ml,0.0011125333257950842
q0023,c000227,0.000150703172921626,2,lightweight_ml,0.0011125333257950842
q0023,c000228,0.00014274256790599308,3,lightweight_ml,0.0011125333257950842
q0023,c000226,6.140473780970943e-05,4,lightweight_ml,0.0011125333257950842
q0023,c000222,4.800760908016695e-05,5,lightweight_ml,0.0011125333257950842
q0023,c000229,4.1861995589336495e-05,6,lightweight_ml,0.0011125333257950842
q0023,c000225,2.360049631005983e-05,7,lightweight_ml,0.0011125333257950842
q0023,c000230,2.0847110569542297e-05,8,lightweight_ml,0.0011125333257950842
q0023,c000223,1.7439506460987576e-05,9,lightweight_ml,0.0011125333257950842
q0023,c000224,6.353305744891536e-06,10,lightweight_ml,0.0011125333257950842
q0025,c000241,0.9980389604532005,1,lightweight_ml,0.0011125333257950842
q0025,c000242,0.01080286231339609,2,lightweight_ml,0.0011125333257950842
q0025,c000243,0.005799028215103749,3,lightweight_ml,0.0011125333257950842
q0025,c000244,0.00011390018313148637,4,lightweight_ml,0.0011125333257950842
q0025,c000245,6.210526665874217e-05,5,lightweight_ml,0.0011125333257950842
q0025,c000248,7.706728442735643e-06,6,lightweight_ml,0.0011125333257950842
q0025,c000247,3.6132017941872196e-06,7,lightweight_ml,0.0011125333257950842
q0025,c000249,3.4144429428927774e-06,8,lightweight_ml,0.0011125333257950842
q0025,c000250,1.0131154387389092e-06,9,lightweight_ml,0.0011125333257950842
q0025,c000246,2.27090013940799e-07,10,lightweight_ml,0.0011125333257950842
q0026,c000251,0.9892333028749433,1,lightweight_ml,0.0011125333257950842
q0026,c000255,0.02238757901005911,2,lightweight_ml,0.0011125333257950842
q0026,c000253,0.001221901161120465,3,lightweight_ml,0.0011125333257950842
q0026,c000254,0.0003466372210856165,4,lightweight_ml,0.0011125333257950842
q0026,c000252,0.0002329863921929968,5,lightweight_ml,0.0011125333257950842
q0026,c000256,3.6329938995884266e-05,6,lightweight_ml,0.0011125333257950842
q0026,c000258,1.0754216371527035e-05,7,lightweight_ml,0.0011125333257950842
q0026,c000260,4.563455844334282e-06,8,lightweight_ml,0.0011125333257950842
q0026,c000259,4.399280255645409e-06,9,lightweight_ml,0.0011125333257950842
q0026,c000257,2.834091288837322e-06,10,lightweight_ml,0.0011125333257950842
q0031,c000301,0.9928350379946608,1,lightweight_ml,0.0011125333257950842
q0031,c000304,0.1735089609697454,2,lightweight_ml,0.0011125333257950842
q0031,c000305,0.003518202084278349,3,lightweight_ml,0.0011125333257950842
q0031,c000303,0.0012320653192047222,4,lightweight_ml,0.0011125333257950842
q0031,c000302,0.00014417052393524428,5,lightweight_ml,0.0011125333257950842
q0031,c000306,1.2086661640965902e-05,6,lightweight_ml,0.0011125333257950842
q0031,c000308,6.22302979022806e-06,7,lightweight_ml,0.0011125333257950842
q0031,c000309,3.960275094946111e-06,8,lightweight_ml,0.0011125333257950842
q0031,c000310,1.2699305156820847e-06,9,lightweight_ml,0.0011125333257950842
q0031,c000307,9.705641319539671e-07,10,lightweight_ml,0.0011125333257950842
q0034,c000331,0.99610215783211,1,lightweight_ml,0.0011125333257950842
q0034,c000332,0.007984555090095376,2,lightweight_ml,0.0011125333257950842
q0034,c000335,0.0009487796265813499,3,lightweight_ml,0.0011125333257950842
q0034,c000334,2.6194382736998192e-05,4,lightweight_ml,0.0011125333257950842
q0034,c000333,1.11462364145159e-05,5,lightweight_ml,0.0011125333257950842
q0034,c000337,9.749931487310023e-06,6,lightweight_ml,0.0011125333257950842
