qid,context_id,score,rank,method,latency_ms
qh0001,ch000001,1.3447265625,1,bce,0.5252277619903907
qh0001,ch000002,1.181640625,2,bce,0.5252277619903907
qh0001,ch000004,1.0888671875,3,bce,0.5252277619903907
qh0001,ch000007,1.087890625,4,bce,0.5252277619903907
qh0001,ch000003,1.0732421875,5,bce,0.5252277619903907
qh0001,ch000008,1.01171875,6,bce,0.5252277619903907
qh0001,ch000005,0.99755859375,7,bce,0.5252277619903907
qh0001,ch000010,0.95361328125,8,bce,0.5252277619903907
qh0001,ch000006,0.84228515625,9,bce,0.5252277619903907
qh0001,ch000009,-0.6953125,10,bce,0.5252277619903907
qh0002,ch000011,1.3466796875,1,bce,0.5252277619903907
qh0002,ch000016,0.93798828125,2,bce,0.5252277619903907
qh0002,ch000012,0.7763671875,3,bce,0.5252277619903907
qh0002,ch000014,0.409423828125,4,bce,0.5252277619903907
qh0002,ch000013,0.291015625,5,bce,0.5252277619903907
qh0002,ch000018,-0.4599609375,6,bce,0.5252277619903907
qh0002,ch000015,-0.479736328125,7,bce,0.5252277619903907
qh0002,ch000017,-0.49951171875,8,bce,0.5252277619903907
qh0002,ch000020,-0.51171875,9,bce,0.5252277619903907
qh0002,ch000019,-0.6728515625,10,bce,0.5252277619903907
qh0003,ch000021,1.34765625,1,bce,0.5252277619903907
qh0003,ch000026,1.345703125,2,bce,0.5252277619903907
qh0003,ch000028,1.2314453125,3,bce,0.5252277619903907
qh0003,ch000025,1.216796875,4,bce,0.5252277619903907
qh0003,ch000023,1.1494140625,5,bce,0.5252277619903907
qh0003,ch000029,1.0400390625,6,bce,0.5252277619903907
qh0003,ch000027,0.96728515625,7,bce,0.5252277619903907
qh0003,ch000030,0.845703125,8,bce,0.5252277619903907
qh0003,ch000022,0.76171875,9,bce,0.5252277619903907
qh0003,ch000024,0.666015625,10,bce,0.5252277619903907
qh0004,ch000031,1.330078125,1,bce,0.5252277619903907
qh0004,ch000033,1.16015625,2,bce,0.5252277619903907
qh0004,ch000032,0.89013671875,3,bce,0.5252277619903907
qh0004,ch000037,0.83935546875,4,bce,0.5252277619903907
qh0004,ch000036,0.65234375,5,bce,0.5252277619903907
qh0004,ch000034,0.461669921875,6,bce,0.5252277619903907
qh0004,ch000035,0.11383056640625,7,bce,0.5252277619903907
qh0004,ch000038,-0.460205078125,8,bce,0.5252277619903907
qh0004,ch000039,-0.525390625,9,bce,0.5252277619903907
qh0004,ch000040,-0.5537109375,10,bce,0.5252277619903907
qh0005,ch000041,1.34765625,1,bce,0.5252277619903907
qh0005,ch000044,0.95751953125,2,bce,0.5252277619903907
qh0005,ch000049,0.728515625,3,bce,0.5252277619903907
qh0005,ch000047,0.66259765625,4,bce,0.5252277619903907
qh0005,ch000045,-0.324462890625,5,bce,0.5252277619903907
qh0005,ch000043,-0.325439453125,6,bce,0.5252277619903907
qh0005,ch000048,-0.37255859375,7,bce,0.5252277619903907
qh0005,ch000042,-0.5380859375,8,bce,0.5252277619903907
qh0005,ch000046,-0.59326171875,9,bce,0.5252277619903907
qh0005,ch000050,-0.83447265625,10,bce,0.5252277619903907
qh0006,ch000051,1.3427734375,1,bce,0.5252277619903907
qh0006,ch000052,1.0595703125,2,bce,0.5252277619903907
qh0006,ch000053,1.01171875,3,bce,0.5252277619903907
qh0006,ch000058,0.95556640625,4,bce,0.5252277619903907
qh0006,ch000055,0.9130859375,5,bce,0.5252277619903907
qh0006,ch000054,0.85595703125,6,bce,0.5252277619903907
qh0006,ch000056,0.83251953125,7,bce,0.5252277619903907
qh0006,ch000057,0.685546875,8,bce,0.5252277619903907
qh0006,ch000059,-0.6943359375,9,bce,0.5252277619903907
qh0006,ch000060,-0.72216796875,10,bce,0.5252277619903907
qh0007,ch000061,1.345703125,1,bce,0.5252277619903907
qh0007,ch000068,1.2978515625,2,bce,0.5252277619903907
qh0007,ch000065,0.90380859375,3,bce,0.5252277619903907
qh0007,ch000067,0.67236328125,4,bce,0.5252277619903907
qh0007,ch000066,0.62158203125,5,bce,0.5252277619903907
qh0007,ch000063,0.60693359375,6,bce,0.5252277619903907
qh0007,ch000062,0.59619140625,7,bce,0.5252277619903907
qh0007,ch000064,-0.406005859375,8,bce,0.5252277619903907
qh0007,ch000070,-0.70947265625,9,bce,0.5252277619903907
qh0007,ch000069,-0.85791015625,10,bce,0.5252277619903907
qh0008,ch000071,1.34765625,1,bce,0.5252277619903907
qh0008,ch000073,-0.455322265625,2,bce,0.5252277619903907
qh0008,ch000080,-0.46875,3,bce,0.5252277619903907
qh0008,ch000074,-0.489990234375,4,bce,0.5252277619903907
qh0008,ch000072,-0.52880859375,5,bce,0.5252277619903907
qh0008,ch000077,-0.53271484375,6,bce,0.5252277619903907
qh0008,ch000076,-0.53759765625,7,bce,0.5252277619903907
qh0008,ch000075,-0.53955078125,8,bce,0.5252277619903907
qh0008,ch000079,-0.580078125,9,bce,0.5252277619903907
