qid,context_id,score,rank,method,latency_ms
qh0001,ch000001,0.9914763601863726,1,lightweight_ml,0.00040698000229895116
qh0001,ch000010,0.002022653485447253,2,lightweight_ml,0.00040698000229895116
qh0001,ch000008,0.00020352995671058614,3,lightweight_ml,0.00040698000229895116
qh0001,ch000002,1.141008131148996e-05,4,lightweight_ml,0.00040698000229895116
qh0001,ch000003,1.766203459974524e-06,5,lightweight_ml,0.00040698000229895116
qh0001,ch000007,1.3940593479253267e-06,6,lightweight_ml,0.00040698000229895116
qh0001,ch000005,9.834020397183422e-07,7,lightweight_ml,0.00040698000229895116
qh0001,ch000004,1.7378054293192295e-07,8,lightweight_ml,0.00040698000229895116
qh0001,ch000006,1.916720500961432e-09,9,lightweight_ml,0.00040698000229895116
qh0001,ch000009,7.667457513186942e-15,10,lightweight_ml,0.00040698000229895116
qh0002,ch000011,0.9995259808411311,1,lightweight_ml,0.00040698000229895116
qh0002,ch000017,8.609995145593328e-09,2,lightweight_ml,0.00040698000229895116
qh0002,ch000015,4.568334417722575e-09,3,lightweight_ml,0.00040698000229895116
qh0002,ch000018,2.540003991749398e-09,4,lightweight_ml,0.00040698000229895116
qh0002,ch000019,1.350782919499324e-09,5,lightweight_ml,0.00040698000229895116
qh0002,ch000013,2.0057430639000346e-10,6,lightweight_ml,0.00040698000229895116
qh0002,ch000014,6.438288183556801e-11,7,lightweight_ml,0.00040698000229895116
qh0002,ch000016,2.0972301729684853e-11,8,lightweight_ml,0.00040698000229895116
qh0002,ch000012,6.4542843236821404e-12,9,lightweight_ml,0.00040698000229895116
qh0002,ch000020,3.99739100621808e-12,10,lightweight_ml,0.00040698000229895116
qh0003,ch000021,0.9793504876262259,1,lightweight_ml,0.00040698000229895116
qh0003,ch000026,0.004124306650168501,2,lightweight_ml,0.00040698000229895116
qh0003,ch000024,0.003506175965326001,3,lightweight_ml,0.00040698000229895116
qh0003,ch000022,0.0009895125099713895,4,lightweight_ml,0.00040698000229895116
qh0003,ch000028,0.0007382486007685284,5,lightweight_ml,0.00040698000229895116
qh0003,ch000023,0.0005220732795624714,6,lightweight_ml,0.00040698000229895116
qh0003,ch000030,3.652680754787014e-05,7,lightweight_ml,0.00040698000229895116
qh0003,ch000027,2.6222031077732975e-05,8,lightweight_ml,0.00040698000229895116
qh0003,ch000025,1.611841832940251e-05,9,lightweight_ml,0.00040698000229895116
qh0003,ch000029,4.8219861157933e-06,10,lightweight_ml,0.00040698000229895116
qh0004,ch000031,0.9999627643099145,1,lightweight_ml,0.00040698000229895116
qh0004,ch000035,4.958314145113979e-10,2,lightweight_ml,0.00040698000229895116
qh0004,ch000039,8.25859872889511e-11,3,lightweight_ml,0.00040698000229895116
qh0004,ch000038,8.027017989982494e-11,4,lightweight_ml,0.00040698000229895116
qh0004,ch000040,7.202344495760819e-11,5,lightweight_ml,0.00040698000229895116
qh0004,ch000033,1.6774698506815573e-11,6,lightweight_ml,0.00040698000229895116
qh0004,ch000036,8.664937135088713e-12,7,lightweight_ml,0.00040698000229895116
qh0004,ch000032,4.494630724117898e-12,8,lightweight_ml,0.00040698000229895116
qh0004,ch000037,1.598701223194399e-12,9,lightweight_ml,0.00040698000229895116
qh0004,ch000034,1.1261680382564029e-12,10,lightweight_ml,0.00040698000229895116
qh0005,ch000041,0.998943484482948,1,lightweight_ml,0.00040698000229895116
qh0005,ch000044,0.1181343917724094,2,lightweight_ml,0.00040698000229895116
qh0005,ch000047,5.2950519948732675e-11,3,lightweight_ml,0.00040698000229895116
qh0005,ch000042,1.316541291073569e-11,4,lightweight_ml,0.00040698000229895116
qh0005,ch000043,1.203689345931253e-11,5,lightweight_ml,0.00040698000229895116
qh0005,ch000048,7.42756590891906e-12,6,lightweight_ml,0.00040698000229895116
qh0005,ch000046,6.563383468761235e-12,7,lightweight_ml,0.00040698000229895116
qh0005,ch000050,2.930787383553273e-12,8,lightweight_ml,0.00040698000229895116
qh0005,ch000045,1.9356420077763108e-12,9,lightweight_ml,0.00040698000229895116
qh0005,ch000049,2.6298859004445115e-13,10,lightweight_ml,0.00040698000229895116
qh0006,ch000051,0.9678437900674155,1,lightweight_ml,0.00040698000229895116
qh0006,ch000054,0.022761774743055813,2,lightweight_ml,0.00040698000229895116
qh0006,ch000058,0.001212051464398616,3,lightweight_ml,0.00040698000229895116
qh0006,ch000052,0.0002559385736616514,4,lightweight_ml,0.00040698000229895116
qh0006,ch000055,0.00020082943350433833,5,lightweight_ml,0.00040698000229895116
qh0006,ch000057,0.00012777112357265986,6,lightweight_ml,0.00040698000229895116
qh0006,ch000056,0.00010043845354041073,7,lightweight_ml,0.00040698000229895116
qh0006,ch000053,2.8681438793598907e-05,8,lightweight_ml,0.00040698000229895116
qh0006,ch000060,2.0242111513373343e-10,9,lightweight_ml,0.00040698000229895116
qh0006,ch000059,2.940625084764664e-12,10,lightweight_ml,0.00040698000229895116
qh0007,ch000061,0.9844821635854805,1,lightweight_ml,0.00040698000229895116
qh0007,ch000065,0.0002930904651535014,2,lightweight_ml,0.00040698000229895116
qh0007,ch000063,0.0002472636410193238,3,lightweight_ml,0.00040698000229895116
qh0007,ch000066,3.5471416298899233e-06,4,lightweight_ml,0.00040698000229895116
qh0007,ch000068,1.7548371947430687e-06,5,lightweight_ml,0.00040698000229895116
qh0007,ch000062,8.478560283035433e-07,6,lightweight_ml,0.00040698000229895116
qh0007,ch000067,2.0667589210325088e-07,7,lightweight_ml,0.00040698000229895116
qh0007,ch000064,5.118487625207389e-09,8,lightweight_ml,0.00040698000229895116
qh0007,ch000070,7.471564493677396e-13,9,lightweight_ml,0.00040698000229895116
qh0007,ch000069,6.599029568185515e-13,10,lightweight_ml,0.00040698000229895116
qh0008,ch000071,0.9803038849291872,1,lightweight_ml,0.00040698000229895116
qh0008,ch000078,5.4200192156038845e-08,2,lightweight_ml,0.00040698000229895116
qh0008,ch000073,2.0192692609145953e-08,3,lightweight_ml,0.00040698000229895116
qh0008,ch000076,9.140571206552956e-09,4,lightweight_ml,0.00040698000229895116
qh0008,ch000079,7.204278522638112e-10,5,lightweight_ml,0.00040698000229895116
qh0008,ch000080,3.110502803619089e-10,6,lightweight_ml,0.00040698000229895116
qh0008,ch000074,1.8265112618421617e-10,7,lightweight_ml,0.00040698000229895116
qh0008,ch000072,1.4234227761775922e-10,8,lightweight_ml,0.00040698000229895116
qh0008,ch000075,7.464597228742486e-12,9,lightweight_ml,0.00040698000229895116
qh0008,ch000077,1.822332993501897e-12,10,lightweight_ml,0.00040698000229895116
qh0009,ch000081,0.9959310821200094,1,lightweight_ml,0.00040698000229895116
qh0009,ch000082,0.1605200722566797,2,lightweight_ml,0.00040698000229895116
qh0009,ch000083,0.0001920896009876291,3,lightweight_ml,0.00040698000229895116
qh0009,ch000085,6.800095402920217e-05,4,lightweight_ml,0.00040698000229895116
qh0009,ch000084,6.088693970349317e-05,5,lightweight_ml,0.00040698000229895116
qh0009,ch000088,8.957478886894845e-06,6,lightweight_ml,0.00040698000229895116
qh0009,ch000087,4.468598765535189e-06,7,lightweight_ml,0.00040698000229895116
qh0009,ch000089,2.5560433808908406e-06,8,lightweight_ml,0.00040698000229895116
qh0009,ch000086,1.5534562265129257e-06,9,lightweight_ml,0.00040698000229895116
qh0009,ch000090,1.279436652772858e-06,10,lightweight_ml,0.00040698000229895116
qh0010,ch000091,0.9825590551565324,1,lightweight_ml,0.00040698000229895116
qh0010,ch000092,0.013426756629789061,2,lightweight_ml,0.00040698000229895116
qh0010,ch000098,0.004866583140091752,3,lightweight_ml,0.00040698000229895116
qh0010,ch000096,0.002036320138770572,4,lightweight_ml,0.00040698000229895116
qh0010,ch000093,0.0012973223296936245,5,lightweight_ml,0.00040698000229895116
qh0010,ch000097,0.000721320095525554,6,lightweight_ml,0.00040698000229895116
qh0010,ch000094,0.0003662841542845978,7,lightweight_ml,0.00040698000229895116
qh0010,ch000095,7.7617243383114e-05,8,lightweight_ml,0.00040698000229895116
qh0010,ch000100,2.5054254758747384e-08,9,lightweight_ml,0.00040698000229895116
qh0010,ch000099,4.321727295797156e-09,10,lightweight_ml,0.00040698000229895116
qh0011,ch000101,0.9999924847135588,1,lightweight_ml,0.00040698000229895116
qh0011,ch000102,4.80070595128454e-13,2,lightweight_ml,0.00040698000229895116
qh0011,ch000109,2.695571644249223e-13,3,lightweight_ml,0.00040698000229895116
qh0011,ch000106,1.2480657015140773e-13,4,lightweight_ml,0.00040698000229895116
qh0011,ch000105,1.2378996475864367e-13,5,lightweight_ml,0.00040698000229895116
qh0011,ch000110,9.704092934714323e-14,6,lightweight_ml,0.00040698000229895116
qh0011,ch000107,7.691315534520902e-14,7,lightweight_ml,0.00040698000229895116
qh0011,ch000104,4.256466478487719e-14,8,lightweight_ml,0.00040698000229895116
qh0011,ch000108,8.53387476133108e-15,9,lightweight_ml,0.00040698000229895116
qh0011,ch000103,2.2006906262728178e-15,10,lightweight_ml,0.00040698000229895116
qh0012,ch000111,0.982379086994781,1,lightweight_ml,0.00040698000229895116
qh0012,ch000113,0.13427983267238444,2,lightweight_ml,0.00040698000229895116
qh0012,ch000112,3.110140309277588e-05,3,lightweight_ml,0.00040698000229895116
qh0012,ch000116,1.941619607632064e-05,4,lightweight_ml,0.00040698000229895116
qh0012,ch000118,1.5790317779815923e-05,5,lightweight_ml,0.00040698000229895116
qh0012,ch000114,3.4793624292643747e-06,6,lightweight_ml,0.00040698000229895116
qh0012,ch000119,1.1391870044127766e-06,7,lightweight_ml,0.00040698000229895116
qh0012,ch000117,8.154925232975849e-07,8,lightweight_ml,0.00040698000229895116
qh0012,ch000115,1.376212243582336e-07,9,lightweight_ml,0.00040698000229895116
qh0012,ch000120,3.4573315679005896e-08,10,lightweight_ml,0.00040698000229895116
qh0013,ch000121,0.9958483096749576,1,lightweight_ml,0.00040698000229895116
qh0013,ch000122,0.0042468296226365635,2,lightweight_ml,0.00040698000229895116
qh0013,ch000126,3.390571153799789e-06,3,lightweight_ml,0.00040698000229895116
qh0013,ch000123,1.936497724912291e-06,4,lightweight_ml,0.00040698000229895116
qh0013,ch000127,1.7898342330911954e-06,5,lightweight_ml,0.00040698000229895116
qh0013,ch000124,1.720748776335855e-06,6,lightweight_ml,0.00040698000229895116
qh0013,ch000125,5.458250340381351e-07,7,lightweight_ml,0.00040698000229895116
qh0013,ch000128,2.1625057672653327e-08,8,lightweight_ml,0.00040698000229895116
qh0013,ch000129,4.9018206866013195e-11,9,lightweight_ml,0.00040698000229895116
qh0013,ch000130,2.9080264107619657e-11,10,lightweight_ml,0.00040698000229895116
qh0014,ch000131,0.9984617725381283,1,lightweight_ml,0.00040698000229895116
qh0014,ch000139,7.062932856739824e-12,2,lightweight_ml,0.00040698000229895116
qh0014,ch000134,8.073539913149698e-13,3,lightweight_ml,0.00040698000229895116
qh0014,ch000136,7.879440318252475e-14,4,lightweight_ml,0.00040698000229895116
qh0014,ch000140,3.5890328746411956e-14,5,lightweight_ml,0.00040698000229895116
qh0014,ch000137,1.5491699274021184e-14,6,lightweight_ml,0.00040698000229895116
qh0014,ch000133,8.63686609992529e-15,7,lightweight_ml,0.00040698000229895116
qh0014,ch000138,1.2019333549382008e-15,8,lightweight_ml,0.00040698000229895116
qh0014,ch000135,5.799103547218269e-16,9,lightweight_ml,0.00040698000229895116
qh0014,ch000132,6.59254290582858e-17,10,lightweight_ml,0.00040698000229895116
qh0015,ch000141,0.9925451092348522,1,lightweight_ml,0.00040698000229895116
qh0015,ch000145,0.006598010362501698,2,lightweight_ml,0.00040698000229895116
qh0015,ch000147,0.0008737494038156669,3,lightweight_ml,0.00040698000229895116
qh0015,ch000148,0.0005483014145079057,4,lightweight_ml,0.00040698000229895116
qh0015,ch000143,0.00016002259185887209,5,lightweight_ml,0.00040698000229895116
qh0015,ch000144,6.964824722077835e-05,6,lightweight_ml,0.00040698000229895116
qh0015,ch000142,1.2955188194604896e-05,7,lightweight_ml,0.00040698000229895116
qh0015,ch000146,8.533232634101674e-06,8,lightweight_ml,0.00040698000229895116
qh0015,ch000149,7.139239599514626e-12,9,lightweight_ml,0.00040698000229895116
qh0015,ch000150,6.465984768375205e-13,10,lightweight_ml,0.00040698000229895116
qh0016,ch000151,0.9837727809698196,1,lightweight_ml,0.00040698000229895116
qh0016,ch000153,0.005019330234686341,2,lightweight_ml,0.00040698000229895116
qh0016,ch000152,0.001021881224124087,3,lightweight_ml,0.00040698000229895116
qh0016,ch000156,0.00018809624340146766,4,lightweight_ml,0.00040698000229895116
qh0016,ch000158,9.911008787966243e-05,5,lightweight_ml,0.00040698000229895116
qh0016,ch000155,7.345343945051093e-06,6,lightweight_ml,0.00040698000229895116
qh0016,ch000154,4.0857760724363214e-06,7,lightweight_ml,0.00040698000229895116
qh0016,ch000157,3.3165287041695335e-06,8,lightweight_ml,0.00040698000229895116
qh0016,ch000160,2.7346298313626067e-06,9,lightweight_ml,0.00040698000229895116
qh0016,ch000159,1.254645973491834e-12,10,lightweight_ml,0.00040698000229895116
qh0017,ch000161,0.9908471336879519,1,lightweight_ml,0.00040698000229895116
qh0017,ch000167,0.0008715287361986357,2,lightweight_ml,0.00040698000229895116
qh0017,ch000164,0.00013161205633547873,3,lightweight_ml,0.00040698000229895116
qh0017,ch000168,1.1894940647353139e-05,4,lightweight_ml,0.00040698000229895116
qh0017,ch000162,5.317443222095887e-06,5,lightweight_ml,0.00040698000229895116
qh0017,ch000163,3.702773237683758e-06,6,lightweight_ml,0.00040698000229895116
qh0017,ch000166,1.9058831980741258e-06,7,lightweight_ml,0.00040698000229895116
qh0017,ch000165,9.915244247127346e-07,8,lightweight_ml,0.00040698000229895116
qh0017,ch000170,2.0173313120922187e-07,9,lightweight_ml,0.00040698000229895116
qh0017,ch000169,1.2963000452844897e-07,10,lightweight_ml,0.00040698000229895116
qh0018,ch000171,0.9845619116689956,1,lightweight_ml,0.00040698000229895116
qh0018,ch000173,7.3311602799758936e-06,2,lightweight_ml,0.00040698000229895116
qh0018,ch000175,6.769948768301677e-06,3,lightweight_ml,0.00040698000229895116
qh0018,ch000180,5.4173381125022405e-06,4,lightweight_ml,0.00040698000229895116
qh0018,ch000177,2.1345080360610867e-06,5,lightweight_ml,0.00040698000229895116
qh0018,ch000176,1.2738954898538457e-06,6,lightweight_ml,0.00040698000229895116
qh0018,ch000172,4.847773434862386e-08,7,lightweight_ml,0.00040698000229895116
qh0018,ch000174,4.185718229303566e-08,8,lightweight_ml,0.00040698000229895116
qh0018,ch000178,6.311857912661071e-09,9,lightweight_ml,0.00040698000229895116
qh0018,ch000179,2.762267889911158e-09,10,lightweight_ml,0.00040698000229895116
qh0019,ch000181,0.9983754284729344,1,lightweight_ml,0.00040698000229895116
qh0019,ch000188,8.542225086416523e-05,2,lightweight_ml,0.00040698000229895116
qh0019,ch000185,1.6383881453447144e-05,3,lightweight_ml,0.00040698000229895116
qh0019,ch000182,2.0595919517956713e-06,4,lightweight_ml,0.00040698000229895116
qh0019,ch000187,1.4944988321922786e-06,5,lightweight_ml,0.00040698000229895116
qh0019,ch000186,1.0615505629611426e-06,6,lightweight_ml,0.00040698000229895116
qh0019,ch000184,2.289591155645939e-07,7,lightweight_ml,0.00040698000229895116
qh0019,ch000183,1.5358954905399895e-07,8,lightweight_ml,0.00040698000229895116
qh0019,ch000189,5.353588937135231e-11,9,lightweight_ml,0.00040698000229895116
qh0019,ch000190,1.7201677993722648e-14,10,lightweight_ml,0.00040698000229895116
qh0020,ch000191,0.9850126131741919,1,lightweight_ml,0.00040698000229895116
qh0020,ch000194,0.005100133550095302,2,lightweight_ml,0.00040698000229895116
qh0020,ch000197,0.00048576946256757825,3,lightweight_ml,0.00040698000229895116
qh0020,ch000193,2.8228454460841963e-05,4,lightweight_ml,0.00040698000229895116
qh0020,ch000192,1.2589129932613398e-05,5,lightweight_ml,0.00040698000229895116
qh0020,ch000198,5.574742747848092e-06,6,lightweight_ml,0.00040698000229895116
qh0020,ch000195,7.587581175442719e-09,7,lightweight_ml,0.00040698000229895116
qh0020,ch000196,1.0306501138972414e-09,8,lightweight_ml,0.00040698000229895116
qh0020,ch000199,1.3268647365739412e-10,9,lightweight_ml,0.00040698000229895116
qh0020,ch000200,3.4209854759702063e-13,10,lightweight_ml,0.00040698000229895116
qh0021,ch000201,0.9913450436085585,1,lightweight_ml,0.00040698000229895116
qh0021,ch000202,0.01672210302969483,2,lightweight_ml,0.00040698000229895116
qh0021,ch000203,0.009145773613841739,3,lightweight_ml,0.00040698000229895116
qh0021,ch000209,5.2486268777104785e-06,4,lightweight_ml,0.00040698000229895116
qh0021,ch000204,9.835986162409638e-07,5,lightweight_ml,0.00040698000229895116
qh0021,ch000208,8.479084632858109e-07,6,lightweight_ml,0.00040698000229895116
