qid,context_id,score,rank,method,latency_ms
qh0002,ch000011,0.5206674337387085,1,tiny_cross_encoder,0.030302238557487725
qh0002,ch000019,0.0068598524667322636,2,tiny_cross_encoder,0.030302238557487725
qh0002,ch000020,0.004937572404742241,3,tiny_cross_encoder,0.030302238557487725
qh0002,ch000017,0.0033838811796158552,4,tiny_cross_encoder,0.030302238557487725
qh0002,ch000013,0.001219224650412798,5,tiny_cross_encoder,0.030302238557487725
qh0002,ch000018,0.0008337727631442249,6,tiny_cross_encoder,0.030302238557487725
qh0002,ch000015,0.00045325071550905704,7,tiny_cross_encoder,0.030302238557487725
qh0002,ch000016,0.0002273462014272809,8,tiny_cross_encoder,0.030302238557487725
qh0002,ch000014,0.0001593659253558144,9,tiny_cross_encoder,0.030302238557487725
qh0002,ch000012,0.00011274587450316176,10,tiny_cross_encoder,0.030302238557487725
qh0004,ch000031,0.981217622756958,1,tiny_cross_encoder,0.030302238557487725
qh0004,ch000037,0.05426160991191864,2,tiny_cross_encoder,0.030302238557487725
qh0004,ch000035,0.005591947585344315,3,tiny_cross_encoder,0.030302238557487725
qh0004,ch000038,0.003353236708790064,4,tiny_cross_encoder,0.030302238557487725
qh0004,ch000032,0.0013509356649592519,5,tiny_cross_encoder,0.030302238557487725
qh0004,ch000039,0.0006024554604664445,6,tiny_cross_encoder,0.030302238557487725
qh0004,ch000034,0.0004322921740822494,7,tiny_cross_encoder,0.030302238557487725
qh0004,ch000036,0.0002875860081985593,8,tiny_cross_encoder,0.030302238557487725
qh0004,ch000040,0.00027951240190304816,9,tiny_cross_encoder,0.030302238557487725
qh0004,ch000033,0.00020880224474240094,10,tiny_cross_encoder,0.030302238557487725
qh0005,ch000041,0.9992547631263733,1,tiny_cross_encoder,0.030302238557487725
qh0005,ch000042,0.4400007426738739,2,tiny_cross_encoder,0.030302238557487725
qh0005,ch000043,0.12406693398952484,3,tiny_cross_encoder,0.030302238557487725
qh0005,ch000045,0.03198806568980217,4,tiny_cross_encoder,0.030302238557487725
qh0005,ch000048,0.0214571263641119,5,tiny_cross_encoder,0.030302238557487725
qh0005,ch000046,0.01898886263370514,6,tiny_cross_encoder,0.030302238557487725
qh0005,ch000047,0.01828298717737198,7,tiny_cross_encoder,0.030302238557487725
qh0005,ch000044,0.016061270609498024,8,tiny_cross_encoder,0.030302238557487725
qh0005,ch000049,0.011684080585837364,9,tiny_cross_encoder,0.030302238557487725
qh0005,ch000050,0.008877649903297424,10,tiny_cross_encoder,0.030302238557487725
qh0006,ch000051,0.9987055063247681,1,tiny_cross_encoder,0.030302238557487725
qh0006,ch000053,0.2990621328353882,2,tiny_cross_encoder,0.030302238557487725
qh0006,ch000059,0.09180896729230881,3,tiny_cross_encoder,0.030302238557487725
qh0006,ch000056,0.04546405002474785,4,tiny_cross_encoder,0.030302238557487725
qh0006,ch000052,0.01933850161731243,5,tiny_cross_encoder,0.030302238557487725
qh0006,ch000060,0.004259245935827494,6,tiny_cross_encoder,0.030302238557487725
qh0006,ch000055,0.0021299771033227444,7,tiny_cross_encoder,0.030302238557487725
qh0006,ch000058,0.0015732746105641127,8,tiny_cross_encoder,0.030302238557487725
qh0006,ch000054,0.001283759018406272,9,tiny_cross_encoder,0.030302238557487725
qh0006,ch000057,0.0005103992880322039,10,tiny_cross_encoder,0.030302238557487725
qh0007,ch000061,0.9977265000343323,1,tiny_cross_encoder,0.030302238557487725
qh0007,ch000065,0.9899861216545105,2,tiny_cross_encoder,0.030302238557487725
qh0007,ch000064,0.5789456367492676,3,tiny_cross_encoder,0.030302238557487725
qh0007,ch000063,0.576765775680542,4,tiny_cross_encoder,0.030302238557487725
qh0007,ch000066,0.08314727991819382,5,tiny_cross_encoder,0.030302238557487725
qh0007,ch000062,0.005914706736803055,6,tiny_cross_encoder,0.030302238557487725
qh0007,ch000068,0.00282697263173759,7,tiny_cross_encoder,0.030302238557487725
qh0007,ch000069,0.0005554078961722553,8,tiny_cross_encoder,0.030302238557487725
qh0007,ch000067,0.00022506176901515573,9,tiny_cross_encoder,0.030302238557487725
qh0007,ch000070,6.697462231386453e-05,10,tiny_cross_encoder,0.030302238557487725
qh0008,ch000071,0.9994283318519592,1,tiny_cross_encoder,0.030302238557487725
qh0008,ch000074,0.7514578104019165,2,tiny_cross_encoder,0.030302238557487725
qh0008,ch000077,0.15209142863750458,3,tiny_cross_encoder,0.030302238557487725
qh0008,ch000078,0.07181112468242645,4,tiny_cross_encoder,0.030302238557487725
qh0008,ch000073,0.0630517452955246,5,tiny_cross_encoder,0.030302238557487725
qh0008,ch000080,0.006104753352701664,6,tiny_cross_encoder,0.030302238557487725
qh0008,ch000079,0.005677558481693268,7,tiny_cross_encoder,0.030302238557487725
qh0008,ch000076,0.00022542774968314916,8,tiny_cross_encoder,0.030302238557487725
qh0008,ch000075,0.0002004288835451007,9,tiny_cross_encoder,0.030302238557487725
qh0008,ch000072,0.0001656930398894474,10,tiny_cross_encoder,0.030302238557487725
qh0009,ch000081,0.9601002335548401,1,tiny_cross_encoder,0.030302238557487725
qh0009,ch000085,0.04688593000173569,2,tiny_cross_encoder,0.030302238557487725
qh0009,ch000089,0.04185095429420471,3,tiny_cross_encoder,0.030302238557487725
qh0009,ch000087,0.02172069065272808,4,tiny_cross_encoder,0.030302238557487725
qh0009,ch000086,0.015902167186141014,5,tiny_cross_encoder,0.030302238557487725
qh0009,ch000090,0.0021683808881789446,6,tiny_cross_encoder,0.030302238557487725
qh0009,ch000083,0.0020980441477149725,7,tiny_cross_encoder,0.030302238557487725
qh0009,ch000084,0.000901903840713203,8,tiny_cross_encoder,0.030302238557487725
qh0009,ch000082,0.0007287546177394688,9,tiny_cross_encoder,0.030302238557487725
qh0009,ch000088,0.0002130696811946109,10,tiny_cross_encoder,0.030302238557487725
qh0011,ch000101,0.974431037902832,1,tiny_cross_encoder,0.030302238557487725
qh0011,ch000107,0.010834856890141964,2,tiny_cross_encoder,0.030302238557487725
qh0011,ch000109,0.006834760308265686,3,tiny_cross_encoder,0.030302238557487725
qh0011,ch000103,0.0006918806466273963,4,tiny_cross_encoder,0.030302238557487725
qh0011,ch000104,0.0006501807365566492,5,tiny_cross_encoder,0.030302238557487725
qh0011,ch000108,0.00041866954416036606,6,tiny_cross_encoder,0.030302238557487725
qh0011,ch000105,0.00039327910053543746,7,tiny_cross_encoder,0.030302238557487725
qh0011,ch000102,0.00026327770319767296,8,tiny_cross_encoder,0.030302238557487725
qh0011,ch000106,0.00010544012184254825,9,tiny_cross_encoder,0.030302238557487725
qh0011,ch000110,0.00010114256292581558,10,tiny_cross_encoder,0.030302238557487725
qh0013,ch000121,0.9982325434684753,1,tiny_cross_encoder,0.030302238557487725
qh0013,ch000122,0.24068237841129303,2,tiny_cross_encoder,0.030302238557487725
qh0013,ch000126,0.15731067955493927,3,tiny_cross_encoder,0.030302238557487725
qh0013,ch000129,0.05572166666388512,4,tiny_cross_encoder,0.030302238557487725
qh0013,ch000130,0.0406687892973423,5,tiny_cross_encoder,0.030302238557487725
qh0013,ch000127,0.01993105746805668,6,tiny_cross_encoder,0.030302238557487725
qh0013,ch000125,0.001503119827248156,7,tiny_cross_encoder,0.030302238557487725
qh0013,ch000124,0.0011148486519232392,8,tiny_cross_encoder,0.030302238557487725
qh0013,ch000123,0.0009593113791197538,9,tiny_cross_encoder,0.030302238557487725
qh0013,ch000128,0.00016590220911893994,10,tiny_cross_encoder,0.030302238557487725
qh0014,ch000131,0.9989637136459351,1,tiny_cross_encoder,0.030302238557487725
qh0014,ch000135,0.05734580010175705,2,tiny_cross_encoder,0.030302238557487725
qh0014,ch000133,0.05235932394862175,3,tiny_cross_encoder,0.030302238557487725
qh0014,ch000137,0.02736741118133068,4,tiny_cross_encoder,0.030302238557487725
qh0014,ch000132,0.018026378005743027,5,tiny_cross_encoder,0.030302238557487725
qh0014,ch000138,0.016361255198717117,6,tiny_cross_encoder,0.030302238557487725
qh0014,ch000136,0.000608955742791295,7,tiny_cross_encoder,0.030302238557487725
qh0014,ch000139,0.0006018138374201953,8,tiny_cross_encoder,0.030302238557487725
qh0014,ch000140,0.0005093775689601898,9,tiny_cross_encoder,0.030302238557487725
qh0014,ch000134,0.0002982603036798537,10,tiny_cross_encoder,0.030302238557487725
qh0015,ch000141,0.99280846118927,1,tiny_cross_encoder,0.030302238557487725
qh0015,ch000146,0.8277826905250549,2,tiny_cross_encoder,0.030302238557487725
qh0015,ch000144,0.04506609961390495,3,tiny_cross_encoder,0.030302238557487725
qh0015,ch000148,0.007017418276518583,4,tiny_cross_encoder,0.030302238557487725
qh0015,ch000149,0.000791909929830581,5,tiny_cross_encoder,0.030302238557487725
qh0015,ch000142,0.0006862077279947698,6,tiny_cross_encoder,0.030302238557487725
qh0015,ch000143,0.00025660611572675407,7,tiny_cross_encoder,0.030302238557487725
qh0015,ch000147,0.00021022996224928647,8,tiny_cross_encoder,0.030302238557487725
qh0015,ch000150,0.00015663605881854892,9,tiny_cross_encoder,0.030302238557487725
qh0015,ch000145,0.00013623559789266437,10,tiny_cross_encoder,0.030302238557487725
qh0017,ch000161,0.9461310505867004,1,tiny_cross_encoder,0.030302238557487725
qh0017,ch000164,0.014446718618273735,2,tiny_cross_encoder,0.030302238557487725
qh0017,ch000170,0.0059739528223872185,3,tiny_cross_encoder,0.030302238557487725
qh0017,ch000167,0.0010235825320705771,4,tiny_cross_encoder,0.030302238557487725
qh0017,ch000163,0.0006074347184039652,5,tiny_cross_encoder,0.030302238557487725
qh0017,ch000162,0.00046288323937915266,6,tiny_cross_encoder,0.030302238557487725
qh0017,ch000166,0.00041884134407155216,7,tiny_cross_encoder,0.030302238557487725
qh0017,ch000168,0.00023361157218459994,8,tiny_cross_encoder,0.030302238557487725
qh0017,ch000165,0.00021814969659317285,9,tiny_cross_encoder,0.030302238557487725
qh0017,ch000169,0.00012672469893004745,10,tiny_cross_encoder,0.030302238557487725
qh0018,ch000171,0.9992403984069824,1,tiny_cross_encoder,0.030302238557487725
qh0018,ch000179,0.03361891210079193,2,tiny_cross_encoder,0.030302238557487725
qh0018,ch000173,0.0030289781279861927,3,tiny_cross_encoder,0.030302238557487725
qh0018,ch000175,0.002958655124530196,4,tiny_cross_encoder,0.030302238557487725
qh0018,ch000172,0.0004553697071969509,5,tiny_cross_encoder,0.030302238557487725
qh0018,ch000178,0.00041198846884071827,6,tiny_cross_encoder,0.030302238557487725
qh0018,ch000174,0.00025110202841460705,7,tiny_cross_encoder,0.030302238557487725
