epoch,loss_type,train_loss,test_loss,val_loss,accuracy,precision,recall,f1,tn,fp,fn,tp,val_p1,val_p3,val_p5,val_mrr,best_epoch,is_best_epoch,selected_metric,selected_metric_value,early_stopped,no_improve_epochs,num_train_qids,num_test_qids,max_length,vocab_size,seed
1,bce,1.2773086258570354,1.2477807847976685,1.2477807847976685,0.1,0.1,1.0,0.18181818181818182,0,1125,0,125,0.096,0.312,0.544,0.29673650793650796,12,False,val_mrr,0.29673650793650796,False,0,375,125,256,1829,42
2,bce,1.2580338390986125,1.2486829639434815,1.2486829639434815,0.1,0.1,1.0,0.18181818181818182,0,1125,0,125,0.128,0.296,0.512,0.31481904761904766,12,False,val_mrr,0.31481904761904766,False,0,375,125,256,1829,42
3,bce,1.2536631949742636,1.2605610063552857,1.2605610063552857,0.9,0.0,0.0,0.0,1125,0,125,0,0.096,0.336,0.52,0.29927619047619053,12,False,val_mrr,0.29927619047619053,False,1,375,125,256,1829,42
4,bce,1.2540576194445292,1.2477463857650757,1.2477463857650757,0.1032,0.09967845659163987,0.992,0.18115412710007306,5,1120,1,124,0.072,0.328,0.488,0.2824730158730159,12,False,val_mrr,0.2824730158730159,False,2,375,125,256,1829,42
5,bce,1.2502013387680053,1.2483808721542358,1.2483808721542358,0.9,0.0,0.0,0.0,1125,0,125,0,0.12,0.312,0.528,0.3087301587301588,12,False,val_mrr,0.3087301587301588,False,3,375,125,256,1829,42
6,bce,1.2512686818440755,1.2575615335464478,1.2575615335464478,0.9,0.0,0.0,0.0,1125,0,125,0,0.08,0.296,0.552,0.28376507936507944,12,False,val_mrr,0.28376507936507944,False,4,375,125,256,1829,42
7,bce,1.2517778289159138,1.2512491876602172,1.2512491876602172,0.9,0.0,0.0,0.0,1125,0,125,0,0.072,0.296,0.496,0.27427301587301595,12,False,val_mrr,0.27427301587301595,False,5,375,125,256,1829,42
8,bce,1.247945681889852,1.2478547981262207,1.2478547981262207,0.1,0.1,1.0,0.18181818181818182,0,1125,0,125,0.088,0.408,0.568,0.3066063492063492,12,False,val_mrr,0.3066063492063492,False,6,375,125,256,1829,42
9,bce,1.2503258642832438,1.248119536781311,1.248119536781311,0.1,0.1,1.0,0.18181818181818182,0,1125,0,125,0.072,0.28,0.52,0.2761174603174604,12,False,val_mrr,0.2761174603174604,False,7,375,125,256,1829,42
10,bce,1.2485664050420124,1.2462858867645263,1.2462858867645263,0.8488,0.07894736842105263,0.048,0.05970149253731343,1055,70,119,6,0.112,0.296,0.552,0.30994603174603175,12,False,val_mrr,0.30994603174603175,False,8,375,125,256,1829,42
11,bce,1.2564156499226888,1.2475825721740723,1.2475825721740723,0.4776,0.1,0.528,0.1681528662420382,531,594,59,66,0.128,0.336,0.488,0.3148507936507937,12,False,val_mrr,0.3148507936507937,False,0,375,125,256,1829,42
12,bce,1.250572059440613,1.2476080272674561,1.2476080272674561,0.9,0.0,0.0,0.0,1125,0,125,0,0.12,0.368,0.512,0.319873015873016,12,True,val_mrr,0.319873015873016,False,0,375,125,256,1829,42
13,bce,1.2482396619796754,1.2469124040603639,1.2469124040603639,0.2088,0.10073937153419593,0.872,0.18061309030654515,152,973,16,109,0.064,0.352,0.528,0.28430158730158733,12,False,val_mrr,0.28430158730158733,False,1,375,125,256,1829,42
14,bce,1.2504293334325154,1.2467646060943605,1.2467646060943605,0.2944,0.10858324715615306,0.84,0.19230769230769232,263,862,20,105,0.08,0.32,0.528,0.2846,12,False,val_mrr,0.2846,False,2,375,125,256,1829,42
15,bce,1.2420907991409302,1.2372275588989259,1.2372275588989259,0.6072,0.12345679012345678,0.48,0.19639934533551553,699,426,65,60,0.08,0.376,0.6,0.31081587301587305,12,False,val_mrr,0.31081587301587305,False,3,375,125,256,1829,42
