epoch,train_loss,test_loss,accuracy,precision,recall,f1,tn,fp,fn,tp,num_train_qids,num_test_qids,max_length,vocab_size,seed
1,1.2612956629435221,1.2522668119430542,0.1,0.1,1.0,0.18181818181818182,0,1125,0,125,375,125,384,1829,42
2,1.2610186434427897,1.249726625061035,0.9,0.0,0.0,0.0,1125,0,125,0,375,125,384,1829,42
3,1.2556308201789856,1.2631760019302367,0.9,0.0,0.0,0.0,1125,0,125,0,375,125,384,1829,42
4,1.2543572885513306,1.2463102165222169,0.3904,0.1158021712907117,0.768,0.20125786163522014,392,733,29,96,375,125,384,1829,42
5,1.249905412165324,1.2416796419143676,0.424,0.11711711711711711,0.728,0.2017738359201774,439,686,34,91,375,125,384,1829,42
6,1.245270904159546,1.2353470649719238,0.2504,0.11259541984732824,0.944,0.20119352088661552,195,930,7,118,375,125,384,1829,42
7,1.2350229615529378,1.2276936107635499,0.8392,0.14814814814814814,0.128,0.13733905579399142,1033,92,109,16,375,125,384,1829,42
8,1.2361561166127524,1.2195498527526856,0.3584,0.11751412429378531,0.832,0.20594059405940593,344,781,21,104,375,125,384,1829,42
9,1.2232207480748494,1.2090343086242676,0.4072,0.11786600496277916,0.76,0.20408163265306123,414,711,30,95,375,125,384,1829,42
10,1.2135147810618083,1.1774081090927124,0.5168,0.12401883830455258,0.632,0.2073490813648294,567,558,46,79,375,125,384,1829,42
11,1.2069724411646525,1.2335417222976686,0.616,0.12314225053078556,0.464,0.19463087248322147,712,413,67,58,375,125,384,1829,42
12,1.1981062114715577,1.1922874805450439,0.5192,0.11980830670926518,0.6,0.19973368841544606,574,551,50,75,375,125,384,1829,42
13,1.192277325375875,1.1756674673080445,0.2904,0.11976047904191617,0.96,0.2129547471162378,243,882,5,120,375,125,384,1829,42
14,1.1662840769767762,1.2038428199768065,0.3856,0.11862396204033215,0.8,0.2066115702479339,382,743,25,100,375,125,384,1829,42
15,1.141211868540446,1.2343264219284058,0.6192,0.1257995735607676,0.472,0.19865319865319866,715,410,66,59,375,125,384,1829,42
16,1.1355620468775431,1.200331721305847,0.5856,0.13133208255159476,0.56,0.2127659574468085,662,463,55,70,375,125,384,1829,42
17,1.138250142987569,1.1784615587234497,0.4672,0.12482662968099861,0.72,0.2127659574468085,494,631,35,90,375,125,384,1829,42
18,1.1289402504285178,1.3282104377746582,0.6672,0.13533834586466165,0.432,0.20610687022900764,780,345,71,54,375,125,384,1829,42
19,1.1086182661056518,1.2046770645141602,0.5464,0.132890365448505,0.64,0.2200825309491059,603,522,45,80,375,125,384,1829,42
20,1.078433037408193,1.2110739646911621,0.5544,0.13513513513513514,0.64,0.22315202231520223,613,512,45,80,375,125,384,1829,42
21,1.0523582584063211,1.2304381898880006,0.5976,0.14738805970149255,0.632,0.23903177004538578,668,457,46,79,375,125,384,1829,42
22,1.0657541784922282,1.2228330038070678,0.6624,0.15058823529411763,0.512,0.23272727272727273,764,361,61,64,375,125,384,1829,42
23,1.0682642744382222,1.2175465087890625,0.5344,0.1344,0.672,0.224,584,541,41,84,375,125,384,1829,42
24,1.0240453232129414,1.2313516805648803,0.56,0.14285714285714285,0.68,0.2361111111111111,615,510,40,85,375,125,384,1829,42
25,1.0334089570363363,1.1861635200500489,0.5656,0.1505016722408027,0.72,0.24896265560165975,617,508,35,90,375,125,384,1829,42
26,1.007388121922811,1.1974810905456543,0.6128,0.14595660749506903,0.592,0.23417721518987342,692,433,51,74,375,125,384,1829,42
27,0.9670998716990153,1.3140283670425414,0.6048,0.14587332053742802,0.608,0.23529411764705882,680,445,49,76,375,125,384,1829,42
28,0.960772167301178,1.4073981842041015,0.7008,0.14929577464788732,0.424,0.22083333333333333,823,302,72,53,375,125,384,1829,42
29,0.9181882753690084,1.2594646236419678,0.712,0.15942028985507245,0.44,0.23404255319148937,835,290,70,55,375,125,384,1829,42
30,0.9261143420537313,1.2892779281616211,0.66,0.1511627906976744,0.52,0.23423423423423423,760,365,60,65,375,125,384,1829,42
