epoch,loss_type,train_loss,test_loss,val_loss,accuracy,precision,recall,f1,tn,fp,fn,tp,positive_rank_1_rate,positive_rank_3_rate,positive_rank_5_rate,mean_reciprocal_rank,val_p1,val_p3,val_p5,val_mrr,best_epoch,is_best_epoch,selected_metric,selected_metric_value,early_stopped,no_improve_epochs,num_train_qids,num_test_qids,max_length,vocab_size,seed
1,group_ce,2.308866762161255,2.3030383071899414,2.3030383071899414,0.9,0.0,0.0,0.0,1125,0,125,0,0.088,0.248,0.448,0.2657142906188965,0.088,0.248,0.448,0.2657142906188965,45,False,val_mrr,0.2657142906188965,False,0,375,125,384,1829,42
2,group_ce,2.2999820480346678,2.304059883117676,2.304059883117676,0.9,0.0,0.0,0.0,1125,0,125,0,0.056,0.264,0.424,0.24816190338134766,0.056,0.264,0.424,0.24816190338134766,45,False,val_mrr,0.24816190338134766,False,1,375,125,384,1829,42
3,group_ce,2.3041399720509848,2.3035097751617433,2.3035097751617433,0.9,0.0,0.0,0.0,1125,0,125,0,0.08,0.288,0.488,0.2761428680419922,0.08,0.288,0.488,0.2761428680419922,45,False,val_mrr,0.2761428680419922,False,0,375,125,384,1829,42
4,group_ce,2.299459281921387,2.305585388183594,2.305585388183594,0.9,0.0,0.0,0.0,1125,0,125,0,0.064,0.304,0.504,0.27208255004882814,0.064,0.304,0.504,0.27208255004882814,45,False,val_mrr,0.27208255004882814,False,1,375,125,384,1829,42
5,group_ce,2.2764963518778485,2.3116555786132813,2.3116555786132813,0.9,0.0,0.0,0.0,1125,0,125,0,0.096,0.32,0.504,0.290514289855957,0.096,0.32,0.504,0.290514289855957,45,False,val_mrr,0.290514289855957,False,0,375,125,384,1829,42
6,group_ce,2.2538936977386475,2.3413622188568115,2.3413622188568115,0.6544,0.10941475826972011,0.344,0.16602316602316602,775,350,82,43,0.08,0.336,0.568,0.2947015914916992,0.08,0.336,0.568,0.2947015914916992,45,False,val_mrr,0.2947015914916992,False,0,375,125,384,1829,42
7,group_ce,2.183297342300415,2.3858658504486083,2.3858658504486083,0.852,0.1511627906976744,0.104,0.12322274881516587,1052,73,112,13,0.104,0.36,0.552,0.3133047561645508,0.104,0.36,0.552,0.3133047561645508,45,False,val_mrr,0.3133047561645508,False,0,375,125,384,1829,42
8,group_ce,2.1817181453704833,2.3930449447631834,2.3930449447631834,0.7104,0.12140575079872204,0.304,0.1735159817351598,850,275,87,38,0.096,0.336,0.536,0.30035872650146483,0.096,0.336,0.536,0.30035872650146483,45,False,val_mrr,0.30035872650146483,False,1,375,125,384,1829,42
9,group_ce,2.1033776899973553,2.4336104831695557,2.4336104831695557,0.5136,0.09950248756218906,0.48,0.16483516483516483,582,543,65,60,0.104,0.328,0.536,0.31221588134765627,0.104,0.328,0.536,0.31221588134765627,45,False,val_mrr,0.31221588134765627,False,2,375,125,384,1829,42
10,group_ce,2.0523475290934243,2.4745683250427244,2.4745683250427244,0.7208,0.13157894736842105,0.32,0.1864801864801865,861,264,85,40,0.128,0.352,0.584,0.3306666717529297,0.128,0.352,0.584,0.3306666717529297,45,False,val_mrr,0.3306666717529297,False,0,375,125,384,1829,42
11,group_ce,1.9616152216593425,2.505016820907593,2.505016820907593,0.848,0.1782178217821782,0.144,0.1592920353982301,1042,83,107,18,0.128,0.352,0.584,0.3319206314086914,0.128,0.352,0.584,0.3319206314086914,45,False,val_mrr,0.3319206314086914,False,0,375,125,384,1829,42
12,group_ce,1.8667404610315959,2.537076412200928,2.537076412200928,0.4768,0.11273792093704246,0.616,0.1905940594059406,519,606,48,77,0.136,0.4,0.568,0.336539680480957,0.136,0.4,0.568,0.336539680480957,45,False,val_mrr,0.336539680480957,False,0,375,125,384,1829,42
